emp_no,dept_no,dept_name,title,birth_date,first_name,last_name,hire_date,from_date,to_date
10138,d006,Quality Management,Senior Engineer,1955-04-24,Perry,Shimshoni,1986-09-18,2001-03-03,9999-01-01
10150,d005,Development,Senior Engineer,1955-01-29,Zhenbing,Perng,1986-11-16,1995-11-16,9999-01-01
10153,d005,Development,Assistant Engineer,1955-12-15,Heekeun,Majewski,1987-04-08,2000-01-08,9999-01-01
10157,d005,Development,Senior Engineer,1954-04-23,Nigel,Aloisi,1985-11-02,1997-12-10,9999-01-01
10198,d005,Development,Senior Engineer,1953-05-28,Pranav,Furedi,1985-08-31,1993-08-31,9999-01-01
10215,d007,Sales,Senior Staff,1954-04-02,Xiaobin,Duclos,1987-10-19,1991-11-23,9999-01-01
10224,d004,Production,Senior Engineer,1954-05-17,Leon,Trogemann,1988-01-09,1996-01-09,9999-01-01
10233,d003,Human Resources,Senior Staff,1954-04-01,Lein,Vendrig,1985-07-05,2000-04-28,9999-01-01
10258,d005,Development,Senior Engineer,1955-12-12,Basil,Ishibashi,1985-05-17,1997-05-16,9999-01-01
10272,d002,Finance,Staff,1954-11-30,Yishai,Cannane,1988-05-23,1997-10-23,9999-01-01
10282,d004,Production,Engineer,1953-11-27,Hercules,Benzmuller,1986-06-04,2001-05-02,9999-01-01
10283,d005,Development,Senior Engineer,1953-07-08,Kauko,Birjandi,1988-05-25,1995-05-26,9999-01-01
10326,d008,Research,Staff,1953-02-13,Masali,Czap,1985-05-13,1998-09-02,9999-01-01
10340,d001,Marketing,Senior Staff,1952-08-20,Djelloul,Laventhal,1987-06-05,1993-03-30,9999-01-01
10347,d008,Research,Staff,1953-10-03,Pradeep,Kaminger,1985-12-12,1998-02-20,9999-01-01
10355,d007,Sales,Staff,1952-12-10,Satyanarayana,Cochrane,1987-11-15,1996-01-26,9999-01-01
10356,d008,Research,Senior Staff,1952-08-12,Vasilis,Standera,1988-08-06,1995-06-26,9999-01-01
10364,d004,Production,Senior Engineer,1954-09-21,Nakhoon,Dengi,1985-11-14,1985-11-14,9999-01-01
10372,d004,Production,Technique Leader,1952-04-08,Anneli,Frijda,1985-07-30,1985-07-30,9999-01-01
10387,d009,Customer Service,Senior Staff,1952-11-03,Parto,Wrigley,1987-02-19,1999-01-07,9999-01-01
10396,d005,Development,Senior Engineer,1955-08-21,Sibyl,Rahier,1986-01-11,1986-01-11,9999-01-01
10402,d006,Quality Management,Technique Leader,1953-07-23,Volkmar,Ebeling,1987-01-02,1987-01-02,9999-01-01
10404,d005,Development,Senior Engineer,1955-04-27,Prodip,Rosti,1988-08-28,1996-08-28,9999-01-01
10426,d005,Development,Technique Leader,1955-12-28,Arunas,Luce,1985-07-06,1985-07-06,9999-01-01
10429,d005,Development,Senior Engineer,1952-02-13,Martien,Improta,1986-03-09,1988-09-23,9999-01-01
10432,d009,Customer Service,Senior Staff,1953-11-06,Hisao,Tiemann,1985-04-30,1996-08-12,9999-01-01
10451,d004,Production,Senior Engineer,1952-10-06,Bodh,Ranta,1988-03-12,1998-03-12,9999-01-01
10453,d009,Customer Service,Senior Staff,1953-07-19,Tsvetan,Matzel,1985-04-02,1993-04-02,9999-01-01
10463,d007,Sales,Staff,1954-05-20,Ung,Zaiane,1987-12-25,1994-02-17,9999-01-01
10486,d006,Quality Management,Senior Engineer,1952-08-24,Amstein,Kossowski,1987-10-08,1996-10-07,9999-01-01
10494,d004,Production,Senior Engineer,1953-12-21,Yakkov,Servieres,1986-01-18,2000-12-17,9999-01-01
10504,d007,Sales,Staff,1953-04-07,Xiong,Varker,1988-12-03,1999-10-19,9999-01-01
10512,d003,Human Resources,Senior Staff,1955-11-16,Udi,Gihr,1986-01-12,1998-11-28,9999-01-01
10522,d003,Human Resources,Senior Staff,1955-07-24,Marke,Cesareni,1986-12-12,1995-12-12,9999-01-01
10548,d001,Marketing,Senior Staff,1952-06-12,Ramalingam,Gunderson,1986-05-04,1993-07-04,9999-01-01
10564,d004,Production,Senior Engineer,1955-04-14,Jianhao,Thisen,1986-05-08,2000-11-22,9999-01-01
10623,d008,Research,Senior Engineer,1953-07-11,Aleksander,Danlos,1987-03-07,1999-01-15,9999-01-01
10628,d005,Development,Senior Engineer,1954-04-18,Krisda,Krogh,1985-09-11,2001-03-14,9999-01-01
10631,d005,Development,Engineer,1955-05-17,Inderjeet,Chaudhuri,1988-02-16,1994-10-18,9999-01-01
10642,d005,Development,Engineer,1955-12-19,Hirochika,Narlikar,1986-08-06,1998-10-05,9999-01-01
10653,d005,Development,Senior Engineer,1953-06-16,Otmar,Feinberg,1987-04-30,1987-04-30,9999-01-01
10671,d003,Human Resources,Senior Staff,1953-06-12,Parviz,Rebaine,1987-01-08,2001-09-13,9999-01-01
10676,d005,Development,Engineer,1953-08-26,Valeri,Danley,1986-03-20,1999-09-04,9999-01-01
10693,d009,Customer Service,Senior Staff,1953-12-14,Berhard,Daescu,1986-01-08,1991-01-08,9999-01-01
10702,d005,Development,Senior Engineer,1952-11-25,Bader,Szemeredi,1985-07-23,1991-01-14,9999-01-01
10718,d005,Development,Senior Engineer,1955-12-19,Adib,Rullman,1988-07-21,1997-07-21,9999-01-01
10726,d005,Development,Senior Engineer,1954-01-11,Zita,Minakawa,1985-09-01,2001-02-24,9999-01-01
10734,d004,Production,Engineer,1954-07-06,Sachar,Erdi,1985-04-03,1995-12-19,9999-01-01
10745,d004,Production,Senior Engineer,1953-10-23,Poorav,Ranze,1987-05-26,1997-01-22,9999-01-01
10749,d004,Production,Senior Engineer,1955-08-21,King,Brendel,1985-09-26,1990-09-26,9999-01-01
10767,d007,Sales,Staff,1954-02-28,Monique,Doering,1987-06-17,1997-07-15,9999-01-01
10768,d004,Production,Senior Engineer,1955-06-24,Ishfaq,Candan,1985-07-04,1990-07-04,9999-01-01
10778,d001,Marketing,Senior Staff,1953-03-13,Selwyn,Merey,1986-07-04,1986-07-04,9999-01-01
10791,d005,Development,Senior Engineer,1954-05-27,Tadahiko,Sgarro,1988-07-30,1995-07-31,9999-01-01
10795,d007,Sales,Senior Staff,1954-12-14,Supot,Naudin,1985-05-21,1999-05-03,9999-01-01
10808,d005,Development,Senior Engineer,1955-09-11,Chenxi,Leijenhorst,1987-03-07,1987-03-07,9999-01-01
10835,d004,Production,Engineer,1952-11-23,Tomoyuki,Kermarrec,1985-07-28,1995-08-22,9999-01-01
10836,d009,Customer Service,Senior Staff,1953-07-15,Jianhua,Leivant,1985-07-26,1987-08-10,9999-01-01
10844,d005,Development,Engineer,1954-02-03,Dipayan,Koprowski,1987-03-03,1997-04-25,9999-01-01
10847,d008,Research,Senior Staff,1952-03-04,Theirry,Danley,1986-07-25,1992-07-24,9999-01-01
10848,d004,Production,Senior Engineer,1954-07-16,Fen,Bratsberg,1985-04-20,1992-04-20,9999-01-01
10878,d007,Sales,Staff,1952-06-13,Lakshmi,Deville,1988-02-25,1997-04-25,9999-01-01
10879,d005,Development,Senior Engineer,1953-08-18,Muzhong,Chleq,1985-08-15,1985-08-15,9999-01-01
10883,d004,Production,Engineer,1952-07-30,Shimshon,Champarnaud,1987-11-07,1996-12-28,9999-01-01
10909,d005,Development,Senior Engineer,1954-11-11,Georgi,Atchley,1985-04-21,2000-12-26,9999-01-01
10921,d004,Production,Senior Engineer,1955-07-20,Mara,Bahi,1986-07-27,1995-07-27,9999-01-01
10924,d007,Sales,Senior Staff,1954-04-27,Hironoby,Atchley,1988-08-14,1997-08-14,9999-01-01
10927,d001,Marketing,Senior Staff,1953-03-13,Gal,Scallan,1985-10-26,1993-09-12,9999-01-01
10936,d003,Human Resources,Senior Staff,1953-04-08,Mountaz,Schicker,1987-10-27,1996-05-08,9999-01-01
10943,d005,Development,Senior Engineer,1955-11-19,Berna,Skafidas,1988-02-19,1999-05-22,9999-01-01
10965,d007,Sales,Senior Staff,1955-07-10,Eckart,Braunschweig,1986-07-29,1986-07-29,9999-01-01
10969,d005,Development,Senior Engineer,1954-09-05,Premal,Noriega,1988-08-22,1994-05-12,9999-01-01
10974,d005,Development,Senior Engineer,1952-03-07,Muneo,Papsdorf,1985-11-25,1999-05-17,9999-01-01
10986,d005,Development,Technique Leader,1954-08-11,Masako,Schiper,1985-10-11,1985-10-11,9999-01-01
10988,d005,Development,Senior Engineer,1955-06-24,Chinya,Deyuan,1985-06-19,1985-06-19,9999-01-01
10989,d002,Finance,Senior Staff,1954-09-08,Sumali,Candan,1985-07-20,1991-07-20,9999-01-01
10990,d005,Development,Technique Leader,1954-10-22,Shin,Foote,1988-07-06,1990-08-06,9999-01-01
11009,d007,Sales,Senior Staff,1954-08-30,Alper,Axelband,1986-09-09,1993-09-09,9999-01-01
11012,d009,Customer Service,Staff,1953-09-12,Taegyun,Speckmann,1986-12-28,1996-07-06,9999-01-01
11019,d005,Development,Senior Engineer,1954-09-06,Leon,Huttel,1985-02-04,1997-05-24,9999-01-01
11021,d008,Research,Staff,1954-07-13,Srinidhi,Henders,1985-05-24,1998-02-02,9999-01-01
11027,d004,Production,Senior Engineer,1955-12-13,Remzi,Cappello,1986-05-07,1996-05-06,9999-01-01
11031,d001,Marketing,Senior Staff,1954-12-20,Ottavia,Walstra,1985-04-26,1993-10-24,9999-01-01
11037,d004,Production,Senior Engineer,1952-05-22,Lansing,Maliniak,1988-01-28,1995-01-28,9999-01-01
11038,d008,Research,Senior Staff,1955-10-13,Jinya,Beidas,1985-07-15,1992-07-15,9999-01-01
11042,d005,Development,Senior Engineer,1955-07-13,Gou,Breugel,1988-06-26,2000-06-21,9999-01-01
11048,d007,Sales,Senior Staff,1952-10-26,Jaques,Demke,1985-02-26,1999-05-27,9999-01-01
11050,d001,Marketing,Senior Staff,1952-09-23,Elvis,Katiyar,1986-05-06,1991-05-06,9999-01-01
11051,d004,Production,Senior Engineer,1952-10-06,Przemyslawa,Erol,1985-08-09,2000-03-26,9999-01-01
11070,d006,Quality Management,Senior Engineer,1952-06-30,Adib,Raney,1985-07-24,1991-07-24,9999-01-01
11081,d002,Finance,Senior Staff,1952-06-20,Barry,Boyle,1985-06-17,1994-06-17,9999-01-01
11085,d004,Production,Senior Engineer,1953-09-08,Hailing,Thummel,1986-11-27,1996-02-10,9999-01-01
11100,d008,Research,Senior Staff,1955-10-14,Berna,Cochrane,1986-10-13,1993-10-13,9999-01-01
11106,d005,Development,Senior Engineer,1955-02-23,Aris,Iwayama,1985-08-31,1997-08-30,9999-01-01
11112,d009,Customer Service,Staff,1954-08-05,Boaz,Mukaidono,1987-08-20,1995-04-28,9999-01-01
11113,d001,Marketing,Senior Staff,1953-04-28,Shahab,Peng,1985-11-30,1991-11-30,9999-01-01
11121,d005,Development,Senior Engineer,1953-02-13,Vugranam,Kakkad,1987-02-21,1999-11-01,9999-01-01
11133,d006,Quality Management,Technique Leader,1955-12-13,Nalini,Azulay,1988-02-04,1994-03-06,9999-01-01
11134,d006,Quality Management,Senior Engineer,1954-05-15,Sachar,Rajcani,1988-05-26,2002-05-19,9999-01-01
11137,d005,Development,Engineer,1955-03-17,Hugh,Luca,1986-07-31,1995-03-16,9999-01-01
11139,d009,Customer Service,Senior Staff,1955-10-13,Bogdan,Homond,1985-12-24,1995-05-11,9999-01-01
11146,d007,Sales,Senior Staff,1954-06-25,Ishfaq,Masand,1988-03-21,1997-08-21,9999-01-01
11148,d003,Human Resources,Senior Staff,1953-01-23,Zhanqiu,Botman,1985-07-06,1997-02-08,9999-01-01
11162,d005,Development,Senior Engineer,1953-03-25,Kauko,Narlikar,1985-03-28,1990-03-28,9999-01-01
11180,d005,Development,Senior Engineer,1952-11-07,Mitsuyuki,Bojadziev,1986-06-11,1992-06-10,9999-01-01
11197,d007,Sales,Senior Staff,1955-05-11,Tadahiro,Fordan,1986-04-13,1989-09-12,9999-01-01
11204,d004,Production,Technique Leader,1955-12-15,Diederik,Covnot,1985-09-18,1985-09-18,9999-01-01
11207,d005,Development,Engineer,1955-08-14,Saeed,Gips,1987-11-09,1999-01-31,9999-01-01
11208,d004,Production,Technique Leader,1952-05-29,Saniya,Valtorta,1988-08-26,1994-11-17,9999-01-01
11211,d004,Production,Senior Engineer,1952-12-11,Yurij,Rissland,1985-09-17,1985-09-17,9999-01-01
11217,d004,Production,Senior Engineer,1954-07-01,Kellie,Mawatari,1987-09-22,1990-03-11,9999-01-01
11232,d009,Customer Service,Senior Staff,1955-09-03,Hidefumi,Crelier,1988-02-02,2000-08-01,9999-01-01
11240,d005,Development,Engineer,1955-08-12,Kiam,Condotta,1988-11-11,1997-01-06,9999-01-01
11249,d005,Development,Engineer,1954-10-01,Randi,Cyre,1985-08-29,1994-09-22,9999-01-01
11251,d001,Marketing,Senior Staff,1955-10-16,Bezalel,Chinal,1985-11-26,1993-06-15,9999-01-01
11268,d004,Production,Senior Engineer,1954-05-14,Aimee,Petersohn,1985-05-17,1995-10-25,9999-01-01
11275,d005,Development,Senior Engineer,1955-10-18,Hitomi,Eppinger,1987-05-26,1998-04-25,9999-01-01
11290,d005,Development,Engineer,1953-05-07,Visit,Dredge,1985-09-08,1999-05-13,9999-01-01
11295,d002,Finance,Senior Staff,1953-02-03,Abdelkader,Lanzelotte,1985-05-15,1990-05-15,9999-01-01
11319,d005,Development,Assistant Engineer,1955-06-05,Pranas,Marrakchi,1986-10-03,1998-11-01,9999-01-01
11320,d001,Marketing,Senior Staff,1954-04-13,Atilio,McAlpine,1987-11-24,1998-04-06,9999-01-01
11322,d006,Quality Management,Senior Engineer,1952-07-19,Nathalie,Pocchiola,1985-02-08,1999-07-08,9999-01-01
11324,d004,Production,Senior Engineer,1953-11-16,Kauko,Billingsley,1985-08-29,1985-08-29,9999-01-01
11338,d007,Sales,Senior Staff,1954-11-03,Kwangsub,Hanratty,1987-04-14,1998-10-28,9999-01-01
11339,d004,Production,Senior Engineer,1954-06-05,Flemming,Massonet,1987-05-09,1989-12-19,9999-01-01
11347,d005,Development,Senior Engineer,1954-12-27,Anneli,Jonsson,1986-04-20,1992-04-19,9999-01-01
11365,d004,Production,Engineer,1953-11-17,Toshimi,Shinomoto,1988-04-02,1997-12-18,9999-01-01
11376,d008,Research,Senior Staff,1952-03-10,Valery,Suomi,1986-03-14,1994-03-14,9999-01-01
11380,d005,Development,Senior Engineer,1952-04-23,Kenroku,Pelc,1988-03-03,2001-04-18,9999-01-01
11385,d004,Production,Engineer,1952-03-04,Shiv,Ullian,1988-05-22,1999-08-08,9999-01-01
11386,d006,Quality Management,Senior Engineer,1954-09-27,Alselm,Assaf,1987-11-30,1993-11-29,9999-01-01
11393,d004,Production,Senior Engineer,1954-05-17,Junsik,Junot,1985-04-30,1992-04-30,9999-01-01
11398,d002,Finance,Senior Staff,1953-05-30,Oscar,Peir,1986-08-23,2001-09-07,9999-01-01
11404,d005,Development,Technique Leader,1954-09-15,Bedrich,Borovoy,1987-03-06,1990-09-25,9999-01-01
11415,d004,Production,Engineer,1953-10-29,Sanjiv,Anido,1987-03-03,1996-12-07,9999-01-01
11421,d004,Production,Senior Engineer,1953-11-07,Josyula,Msuda,1986-09-02,1995-09-02,9999-01-01
11441,d007,Sales,Senior Staff,1954-11-16,Marlo,Aingworth,1987-03-27,1987-03-27,9999-01-01
11449,d004,Production,Senior Engineer,1955-03-30,Kotesh,Asser,1986-08-27,2000-02-03,9999-01-01
11459,d003,Human Resources,Senior Staff,1953-10-14,Duke,Suomi,1986-05-03,1992-05-02,9999-01-01
11469,d004,Production,Senior Engineer,1952-12-01,Guttorm,Giaccio,1988-05-23,1999-09-08,9999-01-01
11506,d007,Sales,Staff,1955-06-16,Rance,Picel,1986-07-01,1996-04-08,9999-01-01
11509,d005,Development,Senior Engineer,1954-06-18,Aleksander,Feldhoffer,1987-11-12,1992-11-11,9999-01-01
11513,d002,Finance,Senior Staff,1954-07-16,Otmar,Mahnke,1986-03-27,1998-08-25,9999-01-01
11515,d007,Sales,Staff,1955-03-03,Ulf,Basawa,1986-02-27,1998-09-21,9999-01-01
11518,d003,Human Resources,Senior Staff,1953-07-21,Jinxi,Oxman,1985-07-03,1999-09-22,9999-01-01
11524,d005,Development,Senior Engineer,1955-10-26,Xiadong,Standera,1988-09-20,1996-07-05,9999-01-01
11527,d001,Marketing,Staff,1952-02-06,Alagu,Boyle,1988-07-03,1999-01-28,9999-01-01
11528,d004,Production,Technique Leader,1955-04-26,Zito,Dolinsky,1987-06-15,1987-06-15,9999-01-01
11537,d007,Sales,Senior Staff,1955-06-29,DAIDA,Pehl,1986-07-06,1986-07-06,9999-01-01
11554,d001,Marketing,Staff,1955-05-28,Subhash,Taubenfeld,1988-10-17,1998-07-15,9999-01-01
11555,d003,Human Resources,Senior Staff,1955-08-05,Kotesh,Perfilyeva,1986-10-14,1991-10-14,9999-01-01
11567,d007,Sales,Senior Staff,1954-07-06,Teiji,Mitzlaff,1988-02-03,1996-02-03,9999-01-01
11568,d005,Development,Senior Engineer,1955-12-01,Martins,Fujisaki,1987-07-28,2000-03-13,9999-01-01
11603,d002,Finance,Senior Staff,1954-12-07,Herb,Swen,1985-04-13,1994-04-13,9999-01-01
11607,d004,Production,Engineer,1953-12-03,Tomokazu,Foong,1987-09-12,1995-04-19,9999-01-01
11615,d007,Sales,Senior Staff,1955-03-05,Shem,Isaak,1988-09-13,2000-08-28,9999-01-01
11624,d004,Production,Senior Engineer,1955-05-16,Adil,Gammage,1988-04-05,1996-07-15,9999-01-01
11628,d008,Research,Senior Engineer,1952-02-14,Fan,Malinowski,1988-10-23,1997-10-23,9999-01-01
11640,d005,Development,Senior Engineer,1953-10-06,Valeri,Coorg,1987-01-18,1988-09-26,9999-01-01
11647,d005,Development,Senior Engineer,1953-10-13,Magy,Nitsche,1988-05-11,1993-05-11,9999-01-01
11660,d007,Sales,Senior Staff,1955-07-19,Gill,Stenning,1986-11-22,1994-11-22,9999-01-01
11673,d004,Production,Technique Leader,1954-12-20,Henk,Felder,1988-10-13,1989-06-10,9999-01-01
11676,d004,Production,Engineer,1952-04-12,Valeri,Ferriere,1985-03-16,1998-07-15,9999-01-01
11681,d004,Production,Senior Engineer,1952-05-15,Fumitake,Benzmuller,1987-01-21,1995-08-28,9999-01-01
11684,d001,Marketing,Senior Staff,1953-03-07,Oksana,Gide,1986-02-21,1995-02-21,9999-01-01
11696,d007,Sales,Senior Staff,1954-10-26,Dante,Rothe,1985-10-23,1994-10-23,9999-01-01
11732,d009,Customer Service,Senior Engineer,1955-06-14,Sanjoy,Ranft,1985-08-11,1996-12-22,9999-01-01
11735,d009,Customer Service,Senior Staff,1955-02-19,Amalendu,Picci,1988-07-14,1997-07-14,9999-01-01
11746,d007,Sales,Senior Staff,1952-05-22,Koichi,Marrakchi,1988-11-17,1995-11-18,9999-01-01
11751,d008,Research,Senior Staff,1953-02-02,Jiafu,Emiris,1988-11-03,1993-11-03,9999-01-01
11764,d004,Production,Senior Engineer,1953-04-22,Sanjay,Anick,1988-04-25,1996-12-15,9999-01-01
11769,d005,Development,Senior Staff,1953-07-17,Chandrasekaran,Lampe,1988-02-15,2001-10-22,9999-01-01
11772,d005,Development,Engineer,1954-06-19,Gaurav,Penz,1987-12-04,1999-11-07,9999-01-01
11797,d001,Marketing,Senior Staff,1954-08-12,Chenxi,Thambidurai,1988-08-30,1996-08-30,9999-01-01
11810,d005,Development,Senior Engineer,1952-12-08,Amabile,Bhattacharjee,1987-03-17,1992-01-05,9999-01-01
11817,d007,Sales,Senior Staff,1955-05-25,Niranjan,Markovitch,1986-04-12,1993-04-12,9999-01-01
11832,d005,Development,Engineer,1952-05-18,Arto,Zlotek,1986-10-16,1996-02-04,9999-01-01
11844,d005,Development,Senior Engineer,1953-10-30,Shawna,Demeyer,1988-01-27,1995-01-27,9999-01-01
11853,d001,Marketing,Senior Staff,1952-06-19,Zeljko,Kusakabe,1988-11-17,1996-11-17,9999-01-01
11857,d007,Sales,Senior Staff,1955-12-03,Divier,Farrag,1986-08-27,1986-08-27,9999-01-01
11864,d009,Customer Service,Staff,1952-06-14,Pradeep,Kriebel,1985-11-12,1995-11-02,9999-01-01
11871,d005,Development,Senior Engineer,1953-05-02,Nalini,Sommen,1988-01-23,1998-10-13,9999-01-01
11872,d001,Marketing,Senior Staff,1953-01-17,Cheong,Riexinger,1987-12-06,2002-02-12,9999-01-01
11894,d005,Development,Senior Engineer,1954-12-23,Mitchel,Validov,1988-06-22,1988-06-22,9999-01-01
11897,d007,Sales,Senior Staff,1952-11-23,Cordelia,Setlzner,1987-12-27,1997-06-16,9999-01-01
11906,d005,Development,Engineer,1955-04-26,Hideo,Boguraev,1987-03-30,1999-02-07,9999-01-01
11915,d004,Production,Senior Engineer,1954-08-16,Miomir,Mawatari,1987-08-29,2001-06-28,9999-01-01
11931,d008,Research,Senior Staff,1952-10-30,Gunilla,Chiodo,1988-10-03,2000-01-13,9999-01-01
11933,d005,Development,Senior Engineer,1953-08-15,Basil,Erman,1987-06-13,1992-06-12,9999-01-01
11949,d004,Production,Technique Leader,1953-01-27,Martijn,Harbusch,1985-03-11,1985-03-11,9999-01-01
11983,d005,Development,Senior Engineer,1953-01-04,Jaana,Hedayat,1986-10-11,1994-10-11,9999-01-01
11993,d003,Human Resources,Senior Staff,1955-10-29,Marit,Dalphin,1986-06-25,1996-10-22,9999-01-01
12011,d007,Sales,Senior Staff,1953-12-16,Zhilian,Coorg,1988-07-22,1997-07-22,9999-01-01
12036,d007,Sales,Senior Staff,1953-03-02,Mads,Ratzlaff,1986-09-05,1995-09-05,9999-01-01
12037,d009,Customer Service,Senior Staff,1954-01-11,Arunas,Katzenelson,1986-10-01,1992-09-30,9999-01-01
12050,d004,Production,Engineer,1953-06-08,Yuchang,Tchuente,1988-10-10,1996-04-01,9999-01-01
12062,d003,Human Resources,Senior Staff,1954-01-20,Margareta,Worfolk,1985-02-03,1996-01-04,9999-01-01
12069,d005,Development,Senior Engineer,1953-12-27,Ayonca,Burnard,1985-05-13,1995-05-13,9999-01-01
12070,d005,Development,Technique Leader,1955-07-23,Ger,Shokrollahi,1988-11-14,1988-11-14,9999-01-01
12076,d007,Sales,Senior Staff,1955-03-16,Karlis,Siprelle,1985-03-25,1985-03-25,9999-01-01
12082,d007,Sales,Senior Staff,1953-09-20,Xinan,Yamaashi,1986-01-29,1992-01-29,9999-01-01
12089,d003,Human Resources,Senior Staff,1954-06-21,Bilhanan,Socorro,1986-10-22,1994-10-22,9999-01-01
12099,d007,Sales,Senior Staff,1953-01-12,Nobuyoshi,Kuzuoka,1987-08-23,1999-02-15,9999-01-01
12112,d002,Finance,Senior Staff,1953-07-01,Satyanarayana,Avouris,1986-05-24,1997-09-26,9999-01-01
12122,d004,Production,Senior Engineer,1954-06-27,Satoru,Krone,1987-07-24,1992-07-23,9999-01-01
12123,d008,Research,Senior Staff,1954-07-08,Xiahua,Syrzycki,1987-07-18,1994-07-18,9999-01-01
12125,d004,Production,Engineer,1953-04-16,Shounak,Erman,1987-05-01,1997-03-31,9999-01-01
12149,d007,Sales,Senior Staff,1954-10-25,Suebskul,Grandbois,1988-10-01,1988-10-01,9999-01-01
12159,d005,Development,Senior Engineer,1955-08-15,Shem,Perly,1985-07-17,1985-07-17,9999-01-01
12165,d005,Development,Senior Engineer,1952-11-19,Xiaobin,Maquelin,1985-04-27,1994-08-29,9999-01-01
12183,d006,Quality Management,Engineer,1954-06-29,Harngdar,Iisaku,1987-09-19,1998-04-04,9999-01-01
12192,d006,Quality Management,Senior Engineer,1954-11-06,Feiyu,Klyachko,1985-03-16,1991-09-02,9999-01-01
12205,d005,Development,Senior Engineer,1955-08-24,Sushant,Rossi,1986-04-14,1987-11-11,9999-01-01
12206,d005,Development,Senior Engineer,1954-11-21,Barton,Janetzko,1985-03-27,2001-03-27,9999-01-01
12218,d006,Quality Management,Senior Engineer,1954-08-01,Yaghout,Strooper,1985-02-18,2000-03-11,9999-01-01
12221,d005,Development,Senior Engineer,1955-07-14,Vincent,Melter,1985-09-16,1991-09-16,9999-01-01
12222,d002,Finance,Senior Staff,1953-03-04,Abdelwaheb,Holburn,1986-09-01,1996-08-14,9999-01-01
12223,d004,Production,Senior Engineer,1954-07-27,Niteen,Koyama,1986-08-13,1995-08-13,9999-01-01
12247,d005,Development,Technique Leader,1952-03-26,Subbu,Penttonen,1985-04-09,1985-04-09,9999-01-01
12249,d005,Development,Senior Engineer,1952-09-20,Eldridge,Sadowski,1987-02-28,1996-06-20,9999-01-01
12256,d003,Human Resources,Senior Staff,1955-02-15,Guadalupe,Reghbati,1985-08-26,1992-08-26,9999-01-01
12264,d005,Development,Engineer,1953-12-30,Mart,Pagter,1987-07-24,1998-01-09,9999-01-01
12270,d008,Research,Senior Staff,1953-08-10,Shakhar,Kornyak,1988-01-04,1996-08-19,9999-01-01
12272,d003,Human Resources,Senior Staff,1955-10-16,Behnaam,Grandbois,1987-12-08,1992-12-07,9999-01-01
12308,d003,Human Resources,Senior Staff,1952-02-17,Mototsugu,Cronau,1985-08-11,1991-08-11,9999-01-01
12311,d005,Development,Senior Engineer,1955-02-11,Susanne,Lubachevsky,1985-10-22,1985-10-22,9999-01-01
12327,d005,Development,Senior Engineer,1952-05-21,DAIDA,Bruckman,1986-10-16,1992-10-15,9999-01-01
12341,d005,Development,Senior Engineer,1955-02-13,Rasiah,Luga,1985-05-25,1990-05-25,9999-01-01
12343,d004,Production,Senior Staff,1952-10-18,Sorina,Slaats,1988-08-25,1997-08-25,9999-01-01
12365,d004,Production,Senior Engineer,1954-01-21,Kamakshi,Bisiani,1985-04-07,1994-09-12,9999-01-01
